date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,pos,pnl,fee,netpnl,cumpnl
10/21/14,1.655,1.659,1.646,1.645,3482982,-0.009,-0.54,1.646,1.646,1.646,3482982,3482982,3482982,0,0,0,0,0
10/22/14,1.646,1.658,1.644,1.642,4046643.5,-0.002,-0.12,1.645,1.645,1.645,3764812.75,3764812.75,3764812.75,-10000,20,2.469,22.469,22.469
10/23/14,1.643,1.649,1.632,1.631,4219692.5,-0.012,-0.73,1.641,1.641,1.641,3916439.33,3916439.33,3916439.33,-10000,120,0,120,142.469
10/24/14,1.633,1.637,1.629,1.627,3660862.25,-0.003,-0.18,1.638,1.638,1.638,3852545.06,3852545.06,3852545.06,-10000,30,0,30,172.469
10/27/14,1.619,1.619,1.604,1.602,4368667,-0.025,-1.53,1.631,1.631,1.631,3955769.45,3955769.45,3955769.45,-10000,250,0,250,422.469
10/28/14,1.607,1.631,1.629,1.606,4512520.5,0.025,1.56,1.628,1.631,1.631,4161677.15,4048561.29,4048561.29,-10000,-250,0,-250,172.469
10/29/14,1.636,1.661,1.651,1.631,4288524.5,0.022,1.35,1.629,1.634,1.634,4210053.35,4082841.75,4082841.75,-10000,-220,0,-220,-47.531
10/30/14,1.651,1.67,1.663,1.646,3677726,0.012,0.73,1.635,1.637,1.637,4101660.05,4032202.28,4032202.28,-10000,-120,0,-120,-167.531
10/31/14,1.669,1.715,1.705,1.669,6673714,0.042,2.53,1.65,1.645,1.645,4704230.4,4325703.58,4325703.58,-10000,-420,0,-420,-587.531
11/3/14,1.706,1.71,1.695,1.693,4810800.5,-0.01,-0.59,1.669,1.65,1.65,4792657.1,4374213.28,4374213.28,10000,-100,5.115,-94.885,-682.416
11/4/14,1.691,1.696,1.69,1.686,4357221,-0.005,-0.29,1.681,1.654,1.653,4761597.2,4461637.18,4372668.52,10000,-50,0,-50,-732.416
11/5/14,1.691,1.693,1.685,1.679,4160845.5,-0.005,-0.3,1.688,1.658,1.656,4736061.4,4473057.38,4355016.6,10000,-50,0,-50,-782.416
11/6/14,1.687,1.693,1.682,1.674,4687573.5,-0.003,-0.18,1.691,1.663,1.658,4938030.9,4519845.47,4380597.9,10000,-30,0,-30,-812.416
11/7/14,1.682,1.716,1.687,1.679,5830391,0.005,0.3,1.688,1.669,1.66,4769366.3,4736798.35,4484154.55,10000,50,0,50,-762.416
11/10/14,1.715,1.737,1.735,1.704,5689842,0.048,2.85,1.696,1.682,1.665,4945174.6,4868915.85,4564533.72,10000,480,0,480,-282.416
11/11/14,1.747,1.788,1.757,1.741,8497231,0.022,1.27,1.709,1.695,1.671,5773176.6,5267386.9,4810327.3,10000,220,0,220,-62.416
11/12/14,1.749,1.778,1.776,1.743,5134096,0.019,1.08,1.727,1.708,1.677,5967826.7,5351944.05,4829372.51,10000,190,0,190,127.584
11/13/14,1.78,1.798,1.775,1.768,5819074.5,-0.001,-0.06,1.746,1.719,1.683,6194126.9,5566078.9,4884355.96,10000,-10,0,-10,117.584
11/14/14,1.77,1.775,1.774,1.756,4877671.5,-0.001,-0.06,1.763,1.726,1.687,6003583,5386474.65,4884004.14,10000,-10,0,-10,107.584
11/17/14,1.763,1.768,1.709,1.708,4279457,-0.022,-1.27,1.758,1.727,1.688,5721506,5333340.3,4853776.79,10000,-220,0,-220,-112.416
11/18/14,1.711,1.715,1.684,1.681,3831727,-0.025,-1.46,1.744,1.726,1.69,4788405.2,5280790.9,4871214.04,10000,-250,0,-250,-362.416
11/19/14,1.683,1.686,1.675,1.67,4272706,-0.009,-0.53,1.723,1.725,1.692,4616127.2,5291976.95,4882517.16,10000,-90,0,-90,-452.416
11/20/14,1.67,1.686,1.678,1.665,4492058.5,0.003,0.18,1.704,1.725,1.694,4350724,5272425.45,4896135.46,10000,30,0,30,-422.416
11/21/14,1.68,1.723,1.72,1.673,5940909.5,0.042,2.5,1.693,1.728,1.699,4563371.6,5283477.3,5010137.83,10000,420,0,420,-2.416
11/24/14,1.728,1.78,1.759,1.727,7643415.5,0.039,2.27,1.703,1.731,1.706,5236163.3,5478834.65,5173875.25,-10000,-390,5.16,-384.84,-387.256
11/25/14,1.757,1.78,1.774,1.754,7574337,0.015,0.85,1.721,1.732,1.714,5984685.3,5386545.25,5326966.08,-10000,-150,0,-150,-537.256
11/26/14,1.782,1.816,1.816,1.782,6305776.5,0.042,2.37,1.749,1.736,1.722,6391299.4,5503713.3,5427828.68,10000,420,5.322,425.322,-111.934
11/27/14,1.828,1.852,1.851,1.825,7166363,0.035,1.93,1.784,1.744,1.731,6926160.3,5638442.15,5602260.53,10000,350,0,350,238.066
11/28/14,1.851,1.918,1.912,1.843,8946556,0.061,3.3,1.822,1.758,1.742,7527289.6,6045330.6,5715902.63,10000,610,0,610,848.066
12/1/14,1.933,1.963,1.918,1.915,9803680,0.006,0.31,1.854,1.779,1.753,7959342.5,6597752.9,5965546.6,10000,60,0,60,908.066
12/2/14,1.907,2.043,2.023,1.906,11910518,0.105,5.47,1.904,1.813,1.77,8826578.7,7405632,6343211.45,10000,1050,0,1050,1958.066
12/3/14,2.036,2.108,2.033,2,12225523,0.01,0.49,1.947,1.848,1.787,10010528,8200913.7,6746445.33,10000,100,0,100,2058.066
12/4/14,2.045,2.18,2.179,2.03,11110291,0.146,7.18,2.013,1.899,1.812,10799313.6,8862736.95,7067581.2,10000,1460,0,1460,3518.066
12/5/14,2.206,2.257,2.196,2.116,16028496,0.017,0.78,2.07,1.946,1.837,12215701.6,9871495.6,7577486.45,10000,170,0,170,3688.066
12/8/14,2.175,2.329,2.312,2.143,12162508,0.116,5.28,2.149,2.001,1.866,12687467.2,10323404.85,7901119.75,10000,1160,0,1160,4848.066
12/9/14,2.28,2.4,2.169,2.135,15903645,-0.143,-6.18,2.178,2.041,1.887,13486092.6,11156335.65,8271440.45,10000,-1430,0,-1430,3418.066
12/10/14,2.186,2.247,2.239,2.101,15965275,0.07,3.23,2.219,2.083,1.91,14234043,12122285.5,8812999.4,10000,700,0,700,4118.066
12/11/14,2.217,2.25,2.182,2.175,12329542,-0.057,-2.55,2.22,2.116,1.93,14477893.2,12638603.4,9138522.78,10000,-570,0,-570,3548.066
12/12/14,2.182,2.234,2.182,2.161,9403562,0,0,2.217,2.143,1.951,13152906.4,12684304,9364817.3,10000,0,0,0,3548.066
12/15/14,2.177,2.195,2.184,2.124,9456133,0.002,0.09,2.191,2.17,1.974,12611631.4,12649549.3,9623651.1,10000,20,0,20,3568.066
12/16/14,2.188,2.283,2.281,2.178,13292428,0.097,4.44,2.214,2.196,2.004,12089388,12787740.3,10096686.15,10000,970,0,970,4538.066
12/17/14,2.3,2.369,2.356,2.28,13505755,0.075,3.29,2.237,2.228,2.038,11597484,12915763.5,10558338.6,10000,750,0,750,5288.066
12/18/14,2.358,2.388,2.338,2.321,11147140,-0.018,-0.76,2.268,2.244,2.071,11361003.6,12919448.4,10891092.68,10000,-180,0,-180,5108.066
12/19/14,2.341,2.381,2.368,2.283,13030564,0.03,1.28,2.305,2.261,2.104,12086404,12619655.2,11245575.4,10000,300,0,300,5408.066
12/22/14,2.37,2.457,2.405,2.355,14107199,0.037,1.56,2.35,2.27,2.136,13016617.2,12814124.3,11568764.58,10000,370,0,370,5778.066
12/23/14,2.378,2.44,2.353,2.33,10310056,-0.052,-2.16,2.364,2.289,2.165,12420142.8,12254765.4,11705550.53,10000,-520,0,-520,5258.066
12/24/14,2.356,2.363,2.256,2.228,12316174,-0.097,-4.12,2.344,2.291,2.187,12182226.6,11889855.3,12006070.4,10000,-970,0,-970,4288.066
12/25/14,2.28,2.345,2.344,2.252,10771862,0.088,3.9,2.345,2.307,2.212,12107171,11734087.3,12186345.35,10000,880,0,880,5168.066
12/26/14,2.345,2.455,2.452,2.341,13761034,0.108,4.61,2.362,2.334,2.239,12253265,12169834.5,12427069.25,10000,1080,0,1080,6248.066
12/29/14,2.51,2.534,2.459,2.42,14977119,0.007,0.28,2.373,2.361,2.266,12427249,12721933.1,12685741.2,10000,70,0,70,6318.066
12/30/14,2.459,2.52,2.492,2.44,18539512,0.033,1.34,2.401,2.382,2.289,14073140.2,13246641.5,13017190.9,10000,330,0,330,6648.066
12/31/14,2.499,2.562,2.552,2.481,17180510,0.06,2.41,2.46,2.402,2.315,15046007.4,13614117,13264940.25,10000,600,0,600,7248.066
1/5/15,2.58,2.655,2.622,2.555,15964693,0.07,2.74,2.515,2.43,2.337,16084573.6,14095872.3,13507660.35,10000,700,0,700,7948.066
1/6/15,2.6,2.651,2.592,2.561,15561868,-0.03,-1.14,2.543,2.453,2.357,16444740.4,14349002.7,13484328.95,10000,-300,0,-300,7648.066
1/7/15,2.575,2.622,2.588,2.558,8887969,-0.004,-0.15,2.569,2.471,2.371,15226910.4,13827079.7,13320602,10000,-40,0,-40,7608.066
1/8/15,2.599,2.61,2.518,2.51,7936625,-0.07,-2.71,2.574,2.488,2.388,13106333,13589736.6,12922251,10000,-700,0,-700,6908.066
1/9/15,2.51,2.644,2.524,2.496,11561505,0.006,0.24,2.569,2.514,2.402,11982532,13514269.7,12702062.5,10000,60,0,60,6968.066
1/12/15,2.553,2.555,2.5,2.458,15146453,-0.024,-0.95,2.544,2.53,2.418,11818884,13951728.8,12842908.05,10000,-240,0,-240,6728.066
1/13/15,2.5,2.524,2.485,2.471,8537999,-0.015,-0.6,2.523,2.533,2.433,10414110.2,13429425.3,12799629.9,10000,-150,0,-150,6578.066
1/14/15,2.495,2.53,2.494,2.466,12076945,0.009,0.36,2.504,2.537,2.449,11051905.4,13139407.9,12930670.5,10000,90,0,90,6668.066
1/15/15,2.494,2.59,2.586,2.475,19402258,0.092,3.69,2.518,2.546,2.464,13345032,13225682.5,13236162,10000,920,0,920,7588.066
1/16/15,2.598,2.634,2.604,2.581,16932152,0.018,0.7,2.534,2.551,2.477,14419161.4,13200846.7,13407481.85,10000,180,0,180,7768.066
1/19/15,2.43,2.465,2.344,2.344,18004160,-0.26,-9.98,2.503,2.524,2.477,14990702.8,13404793.4,13750332.85,10000,-2600,0,-2600,5168.066
1/20/15,2.341,2.4,2.361,2.316,18381170,0.017,0.72,2.478,2.5,2.477,16959337,13686723.6,14017863.15,10000,170,0,170,5338.066
1/21/15,2.386,2.517,2.503,2.372,16442957,0.142,6.01,2.48,2.492,2.481,17832539.4,14442222.4,14134651.05,10000,1420,0,1420,6758.066
1/22/15,2.51,2.515,2.499,2.462,16531089,-0.004,-0.16,2.462,2.49,2.489,17258305.6,15301668.8,14445702.7,-10000,40,7.509,47.509,6805.575
1/23/15,2.514,2.569,2.524,2.499,19467750,0.025,1,2.446,2.49,2.502,17765425.2,16092293.3,14803281.5,-10000,-250,0,-250,6555.575
1/26/15,2.531,2.531,2.519,2.485,10965950,-0.005,-0.2,2.481,2.492,2.511,16357783.2,15674243,14812985.9,-10000,50,0,50,6605.575
1/27/15,2.529,2.532,2.478,2.436,13883847,-0.041,-1.63,2.505,2.491,2.512,15458318.6,16208827.8,14819126.55,-10000,410,0,410,7015.575
1/28/15,2.452,2.493,2.442,2.435,14169617,-0.036,-1.45,2.492,2.486,2.511,15003650.6,16418095,14778751.45,-10000,360,0,360,7375.575
1/29/15,2.403,2.422,2.4,2.379,9797907,-0.042,-1.72,2.473,2.467,2.507,13657014.2,15457659.9,14341671.2,-10000,420,0,420,7795.575
1/30/15,2.415,2.433,2.367,2.358,11434916,-0.033,-1.38,2.441,2.444,2.498,12050447.4,14907936.3,14054391.5,-10000,330,0,330,8125.575
2/2/15,2.301,2.342,2.299,2.293,11763678,-0.068,-2.87,2.397,2.439,2.481,12209993,14283888.1,13844340.75,-10000,680,0,680,8805.575
2/3/15,2.329,2.378,2.367,2.3,12359149,0.068,2.96,2.375,2.44,2.47,11905053.4,13681686,13684204.8,-10000,-680,0,-680,8125.575
2/4/15,2.375,2.404,2.334,2.331,12441324,-0.033,-1.39,2.353,2.423,2.457,11559394.8,13281522.7,13861872.55,-10000,330,0,330,8455.575
2/5/15,2.42,2.426,2.316,2.313,15494610,-0.018,-0.77,2.337,2.405,2.447,12698735.4,13177874.8,14239771.8,-10000,180,0,180,8635.575
2/6/15,2.311,2.333,2.291,2.27,14633780,-0.025,-1.08,2.321,2.381,2.436,13338508.2,12694477.8,14393385.55,-10000,250,0,250,8885.575
2/9/15,2.291,2.359,2.331,2.28,16392675,0.04,1.75,2.328,2.363,2.427,14264307.6,13237150.3,14455696.65,-10000,-400,0,-400,8485.575
2/10/15,2.331,2.374,2.369,2.321,14049515,0.038,1.63,2.328,2.352,2.421,14602380.8,13253717.1,14731272.45,-10000,-380,0,-380,8105.575
2/11/15,2.371,2.388,2.38,2.359,9498342,0.011,0.46,2.337,2.345,2.416,14013784.4,12786589.6,14602342.3,-10000,-110,0,-110,7995.575
2/12/15,2.379,2.391,2.384,2.351,7281668,0.004,0.17,2.351,2.344,2.406,12371196,12534965.7,13996312.8,-10000,-40,0,-40,7955.575
2/13/15,2.39,2.429,2.39,2.382,10730074,0.006,0.25,2.371,2.346,2.395,11590454.8,12464481.5,13686208.9,-10000,-60,0,-60,7895.575
2/16/15,2.39,2.403,2.394,2.379,6561741,0.004,0.17,2.383,2.356,2.397,9624268,11944287.8,13114087.95,-10000,-40,0,-40,7855.575
2/17/15,2.401,2.429,2.411,2.401,7073138.5,0.017,0.71,2.392,2.36,2.4,8228992.7,11415686.75,12548686.38,-10000,-170,0,-170,7685.575
2/25/15,2.411,2.411,2.37,2.359,6214187,-0.041,-1.7,2.39,2.364,2.393,7572161.7,10792973.05,12037247.88,-10000,410,0,410,8095.575
2/26/15,2.368,2.452,2.45,2.348,12779198,0.08,3.38,2.403,2.377,2.391,8671667.7,10521431.85,11849653.33,-10000,-800,0,-800,7295.575
